Ê±¼ä,H1,H2,H3,HT1,HT2
             0.00000,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.00500,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.01000,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.01500,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.02000,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.02500,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.03000,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.03500,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.04000,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.04500,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.05000,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.05500,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.06000,            49.79228,            49.58455,            49.37683,            49.87017,            49.48069
             0.06500,            49.79228,            49.58455,            50.81380,            49.87017,            49.48069
             0.07000,            49.79228,            49.58455,            52.33530,            49.87017,            49.48069
             0.07500,            49.79228,            49.58455,            53.92104,            49.87017,            49.48069
             0.08000,            49.79228,            49.58455,            55.56290,            49.87017,            49.48069
             0.08500,            49.79228,            49.58455,            57.26949,            49.87017,            49.48069
             0.09000,            49.79228,            49.58455,            59.03382,            49.87017,            49.48069
             0.09500,            49.79228,            49.58455,            60.86626,            49.87017,            49.48069
             0.10000,            49.79228,            49.58455,            62.75948,            49.87017,            49.48069
             0.10500,            49.79228,            49.58455,            64.72476,            49.87017,            50.87819
             0.11000,            49.79228,            49.58455,            66.75434,            49.87017,            52.37891
             0.11500,            49.79228,            49.58455,            68.86017,            49.87017,            53.94725
             0.12000,            49.79228,            49.58455,            71.03407,            49.87017,            55.57320
             0.12500,            49.79228,            49.58455,            73.28856,            49.87017,            57.26470
             0.13000,            49.79228,            49.58455,            75.61507,            49.87017,            59.01450
             0.13500,            49.79228,            49.58455,            78.02662,            49.87017,            60.83270
             0.14000,            49.79228,            49.58455,            80.51423,            49.87017,            62.71197
             0.14500,            49.79228,            50.94366,            83.09139,            49.87017,            64.66338
             0.15000,            49.79228,            52.42361,            85.74873,            49.87017,            66.67927
             0.15500,            49.79228,            53.97460,            88.65999,            49.87017,            68.77141
             0.16000,            49.79228,            55.58471,            91.48912,            49.87017,            70.93176
             0.16500,            49.79228,            57.26118,            91.57942,            49.87017,            73.17265
             0.17000,            49.79228,            58.99651,            91.63784,            49.87017,            75.48568
             0.17500,            49.79228,            60.80053,            91.65295,            49.87017,            77.88368
             0.18000,            49.79228,            62.66589,            91.69412,            49.87017,            80.35786
             0.18500,            49.79228,            64.60348,            91.70025,            49.87017,            82.92153
             0.19000,            49.79228,            66.60573,            91.73682,            49.87017,            85.56552
             0.19500,            49.79228,            68.68422,            91.74004,            49.87017,            88.56834
             0.20000,            49.79228,            70.83104,            91.77471,            49.87017,            91.38100
             0.20500,            49.79228,            73.05836,            91.77648,            49.87017,            91.52099
             0.21000,            49.79228,            75.35792,            91.80993,            49.87017,            91.59486
             0.21500,            49.79228,            77.74240,            91.81071,            49.87017,            91.61909
             0.22000,            49.79228,            80.20317,            91.84318,            49.87017,            91.66560
             0.22500,            51.07773,            82.75337,            91.84318,            49.87017,            91.67615
             0.23000,            52.51616,            85.38400,            91.87483,            49.87017,            91.71567
             0.23500,            54.03266,            88.47515,            91.87419,            49.87017,            91.72200
             0.24000,            55.61131,            91.27283,            91.90512,            49.87017,            91.75883
             0.24500,            57.25791,            91.46131,            91.90394,            49.87017,            91.76318
             0.25000,            58.96448,            91.55096,            91.93424,            49.87017,            91.79837
             0.25500,            60.74029,            91.58449,            91.93261,            51.12904,            91.80138
             0.26000,            62.57799,            91.63645,            91.96237,            52.55193,            91.83531
             0.26500,            64.48810,            91.65149,            91.96036,            54.05557,            91.83728
             0.27000,            66.46317,            91.69400,            91.98963,            55.62250,            91.87014
             0.27500,            68.51448,            91.70349,            91.98731,            57.25797,            91.87124
             0.28000,            70.63435,            91.74249,            92.01615,            58.95381,            91.90318
             0.28500,            72.83462,            91.74944,            92.01356,            60.71910,            91.90356
             0.29000,            75.10733,            91.78639,            92.04202,            62.54648,            91.93470
             0.29500,            77.46482,            91.79167,            92.03921,            64.44633,            91.93447
             0.30000,            79.89882,            91.82705,            92.06733,            66.41126,            91.96491
             0.30500,            82.42209,            91.83102,            92.06434,            68.45242,            91.96416
             0.31000,            85.02606,            91.86509,            92.09215,            70.56222,            91.99400
             0.31500,            88.28442,            91.86797,            92.08901,            72.75237,            91.99281
             0.32000,            91.05632,            91.90092,            92.11654,            75.01504,            92.02211
             0.32500,            91.33833,            91.90288,            92.11328,            77.36243,            92.02056
             0.33000,            91.46047,            91.93486,            92.14057,            79.78641,            92.04938
             0.33500,            91.51306,            91.93604,            92.13720,            82.29959,            92.04752
             0.34000,            91.57624,            91.96719,            92.16426,            84.89357,            92.07593
             0.34500,            91.60049,            91.96771,            92.16081,            88.21149,            92.07381
             0.35000,            91.64913,            91.99811,            92.18767,            90.97506,            92.10185
             0.35500,            91.66503,            91.99808,            92.18416,            90.11517,            92.09951
             0.36000,            91.70847,            92.02784,            92.21082,            88.87329,            92.12722
             0.36500,            91.72069,            92.02733,            92.20725,            87.46778,            92.12470
             0.37000,            91.76122,            92.05654,            92.23374,            85.98693,            92.15211
             0.37500,            91.77107,            92.05563,            92.23014,            84.42645,            92.14944
             0.38000,            91.80943,            92.08434,            92.25646,            82.80767,            92.17658
             0.38500,            90.66259,            92.08309,            92.25283,            81.10419,            92.17379
             0.39000,            89.33549,            92.11136,            92.27899,            79.36291,            92.20069
             0.39500,            87.88656,            92.10983,            92.27535,            77.50841,            92.19780
             0.40000,            86.40387,            92.13772,            92.30136,            75.60684,            92.22447
             0.40500,            84.83345,            92.13595,            92.29771,            73.61808,            92.22150
             0.41000,            83.20934,            92.16349,            92.32359,            71.57745,            92.24797
             0.41500,            81.50204,            92.16152,            92.31993,            69.43655,            92.24493
             0.42000,            79.75848,            92.18875,            92.34567,            67.23714,            92.27122
             0.42500,            77.90313,            92.18662,            92.34202,            64.92256,            92.26813
             0.43000,            76.00155,            92.21357,            92.36764,            62.56571,            92.29424
             0.43500,            74.01343,            92.21130,            92.36399,            60.10607,            92.29111
             0.44000,            71.97445,            92.23800,            92.38948,            57.58941,            92.31707
             0.44500,            69.83604,            92.23561,            92.38585,            54.34408,            92.31391
             0.45000,            67.64006,            92.26208,            92.41123,            51.64406,            92.33971
             0.45500,            65.32995,            92.25961,            92.40760,            51.22120,            92.33653
             0.46000,            62.97794,            92.28587,            92.43287,            51.07143,            92.36218
             0.46500,            60.52407,            91.18275,            92.42926,            50.98507,            92.35899
             0.47000,            58.01397,            89.87927,            92.45442,            50.92882,            92.38451
             0.47500,            54.78880,            88.44805,            92.45083,            50.88277,            92.38132
             0.48000,            52.09057,            87.03048,            92.47589,            50.84845,            92.40671
             0.48500,            51.62660,            85.48325,            92.47232,            50.81610,            92.40351
             0.49000,            51.45615,            83.87953,            92.49727,            50.79018,            92.42878
             0.49500,            51.35459,            82.19071,            92.49373,            50.76426,            92.42559
             0.50000,            51.28656,            80.46463,            92.51857,            50.74298,            92.45074
             0.50500,            51.23010,            78.62837,            92.51506,            50.72114,            91.37316
             0.51000,            51.18714,            76.74552,            92.53981,            50.70308,            90.08565
             0.51500,            51.14666,            74.77657,            92.53631,            50.68425,            88.66722
             0.52000,            51.11384,            72.75759,            92.56097,            50.66868,            87.28405
             0.52500,            51.08119,            70.64049,            92.55750,            50.65223,            85.75171
             0.53000,            51.05417,            68.46680,            92.58206,            50.63867,            84.16087
             0.53500,            51.02657,            66.18098,            92.57862,            50.62414,            82.48384
             0.54000,            51.00362,            63.85307,            92.60309,            50.61224,            80.76877
             0.54500,            50.97976,            61.42513,            91.55084,            50.59931,            78.94418
             0.55000,            50.95993,            58.94200,            90.27962,            50.58879,            77.07260
             0.55500,            50.93901,            55.77824,            88.87433,            50.57721,            75.11506
             0.56000,            50.92168,            53.09411,            87.52497,            50.56785,            73.10766
             0.56500,            50.90315,            52.53297,            86.00793,            50.55741,            71.00273
             0.57000,            50.88788,            52.31468,            84.43019,            50.54904,            68.84150
             0.57500,            50.87132,            52.17963,            82.76519,            50.53957,            66.56907
             0.58000,            50.85777,            52.08651,            81.06130,            50.53205,            64.25432
             0.58500,            50.84285,            52.00840,            79.24854,            50.52342,            61.84041
             0.59000,            50.83075,            51.94780,            77.38836,            50.51663,            59.37167
             0.59500,            50.81724,            51.89090,            75.44236,            50.50870,            56.23882
             0.60000,            50.80636,            51.84441,            73.44664,            50.50255,            53.56313
             0.60500,            50.79404,            51.79839,            71.35399,            50.49525,            52.95668
             0.61000,            50.78421,            51.76017,            69.20528,            50.48964,            52.71535
             0.61500,            50.77292,            51.72123,            66.94632,            50.48288,            52.56446
             0.62000,            50.76400,            51.68878,            64.64478,            50.47774,            52.45954
             0.62500,            50.75359,            51.65504,            62.24493,            50.47146,            52.37138
             0.63000,            50.74545,            51.62698,            59.79059,            50.46674,            52.30262
             0.63500,            50.73582,            51.59728,            56.68823,            50.46087,            52.23819
             0.64000,            50.72836,            51.57269,            54.02139,            50.45652,            52.18542
             0.64500,            50.71939,            51.54623,            53.37127,            50.45102,            52.13332
             0.65000,            50.71254,            51.52446,            53.10709,            50.44699,            52.08998
             0.65500,            50.70416,            51.50066,            52.94053,            50.44181,            52.04591
             0.66000,            50.69782,            51.48123,            52.82395,            50.43808,            52.00915
             0.66500,            50.68996,            51.45966,            51.75344,            50.43318,            51.97095
             0.67000,            50.68409,            51.44219,            50.43713,            50.42971,            51.93915
             0.67500,            50.67669,            51.42250,            49.00629,            50.42507,            51.90549
             0.68000,            50.67123,            51.40670,            47.63911,            50.42182,            51.87760
             0.68500,            50.66424,            51.38861,            46.11091,            50.41742,            51.84758
             0.69000,            50.65914,            51.37424,            44.50621,            50.41437,            51.82286
             0.69500,            50.65251,            51.35754,            42.83209,            50.41018,            51.79582
             0.70000,            50.64774,            51.34439,            41.10472,            50.40732,            51.77372
             0.70500,            50.64144,            51.32889,            39.28920,            50.40331,            50.80328
             0.71000,            50.63695,            51.31682,            37.41161,            50.40062,            49.56355
             0.71500,            50.63095,            51.30237,            35.46654,            50.39678,            48.19843
             0.72000,            50.62673,            51.29123,            33.45775,            50.39425,            46.88346
             0.72500,            50.62099,            51.27770,            31.37093,            50.39057,            45.40737
             0.73000,            50.61701,            51.26738,            29.21379,            50.38817,            43.84843
             0.73500,            50.61152,            51.25466,            26.96570,            50.38463,            42.21738
             0.74000,            50.60775,            51.24507,            24.65830,            50.38236,            40.52875
             0.74500,            50.60248,            50.31308,            22.27162,            50.37896,            38.75108
             0.75000,            50.59892,            49.10384,            19.81586,            50.37681,            36.90794
             0.75500,            50.59384,            47.76615,            16.74326,            50.37352,            34.99625
             0.76000,            50.59046,            46.47218,            14.02884,            50.37148,            33.01833
             0.76500,            50.58557,            45.02062,            13.24977,            50.36831,            30.96192
             0.77000,            50.58236,            43.48406,            12.90225,            50.36637,            28.83308
             0.77500,            50.57765,            41.87500,            12.67623,            50.36330,            26.61324
             0.78000,            50.57459,            40.20683,            12.50607,            50.36146,            24.33175
             0.78500,            50.57003,            38.45025,            12.36621,            50.35848,            21.97086
             0.79000,            50.56711,            36.62686,            12.24513,            50.35673,            19.53916
             0.79500,            50.56271,            34.73494,            12.13908,            50.35385,            16.50416
             0.80000,            50.55993,            32.77582,            12.04040,            50.35217,            13.71654
             0.80500,            50.55566,            30.73855,            11.95253,            50.34938,            12.92364
             0.81000,            50.55300,            28.62798,            11.86730,            50.34778,            12.57382
             0.81500,            50.54886,            26.42696,            11.79150,            50.34507,            12.34967
             0.82000,            50.54632,            24.16296,            11.71573,            50.34354,            12.18421
             0.82500,            49.67201,            21.81989,            11.64886,            50.34090,            12.04921
             0.83000,            48.50793,            19.40512,            11.58030,            50.33945,            11.93399
             0.83500,            47.21014,            16.40062,            11.51288,            50.33688,            11.83307
             0.84000,            45.94498,            13.52913,            11.46034,            50.33549,            11.74009
             0.84500,            44.52937,            12.71425,            11.39758,            50.33299,            11.65704
             0.85000,            43.02592,            12.35519,            11.34968,            50.33166,            11.57707
             0.85500,            41.44965,            12.12738,            11.29105,            49.47687,            11.50565
             0.86000,            39.81225,            11.96124,            11.24721,            48.32828,            11.43468
             0.86500,            38.08805,            11.82664,            11.19215,            47.04409,            11.37178
             0.87000,            36.29529,            11.71277,            11.15179,            45.78861,            11.30762
             0.87500,            34.43436,            11.61322,            11.09982,            44.38521,            11.24397
             0.88000,            32.50510,            11.52206,            11.06244,            42.89308,            11.19512
             0.88500,            30.49860,            11.44055,            11.01314,            41.32801,            11.13597
             0.89000,            28.41773,            11.36247,            10.97835,            39.70119,            11.09144
             0.89500,            26.24772,            11.29257,            10.93137,            37.98814,            11.03615
             0.90000,            24.01271,            11.22346,            10.89883,            36.20598,            10.99540
             0.90500,            21.69948,            11.16202,            10.85390,            34.35580,            10.94346
             0.91000,            19.31326,            11.09965,            10.82333,            32.43693,            10.90593
             0.91500,            16.36365,            11.03758,            10.78022,            30.44117,            10.85686
             0.92000,            13.32068,            10.99012,            10.75139,            28.37073,            10.82209
             0.92500,            12.45266,            10.93261,            10.70989,            26.21162,            10.77550
             0.93000,            12.06796,            10.88942,            10.68261,            23.98684,            10.74312
             0.93500,            11.82731,            10.83574,            10.64256,            21.68415,            10.69870
             0.94000,            11.65458,            10.79625,            10.61665,            19.30807,            10.66839
             0.94500,            11.51647,            10.74586,            10.57790,            16.37814,            10.62587
             0.95000,            11.40092,            10.70955,            10.55321,            13.27245,            10.59737
             0.95500,            11.30037,            10.66198,            10.51564,            13.17909,            10.55653
             0.96000,            11.20899,            10.62836,            10.49206,            13.88848,            10.52963
             0.96500,            11.12723,            10.58323,            10.45556,            14.89942,            10.49028
             0.97000,            11.04943,            10.55194,            10.43297,            15.93822,            10.46479
             0.97500,            10.97957,            10.50893,            10.39745,            17.18107,            10.42678
             0.98000,            10.91096,            10.47966,            10.37575,            18.52188,            10.40255
             0.98500,            11.63144,            10.43850,            10.34113,            19.95159,            10.36574
             0.99000,            12.66272,            10.41099,            10.32024,            21.44819,            10.34261
             0.99500,            13.84873,            10.37147,            10.28644,            23.03365,            10.30689
             1.00000,            15.01004,            10.34550,            10.26629,            24.71092,            10.28477
             1.00500,            16.32785,            10.30743,            10.23325,            26.46482,            10.25002
             1.01000,            17.71385,            10.28281,            10.21378,            28.27921,            10.22880
             1.01500,            19.18041,            10.24603,            10.18145,            30.17943,            10.19495
             1.02000,            20.71924,            10.22262,            10.16259,            32.15257,            10.17454
             1.02500,            22.32773,            10.18700,            10.13091,            34.22037,            10.14151
             1.03000,            24.03721,            10.16465,            10.11263,            36.37607,            10.12183
             1.03500,            25.80544,            10.13006,            10.08155,            38.58826,            10.08955
             1.04000,            27.64608,            10.10867,            10.06379,            40.87928,            10.07053
             1.04500,            29.55433,            10.07502,            10.03328,            43.69528,            10.03894
             1.05000,            31.54866,            10.05446,            10.01600,            46.70576,            10.02053
             1.05500,            33.62590,            10.02166,             9.98602,            47.62523,             9.98958
             1.06000,            35.78998,            10.00186,             9.96918,            48.03212,             9.97171
             1.06500,            38.00837,            10.71481,             9.93971,            48.25881,             9.94135
             1.07000,            40.30484,            11.75772,             9.92327,            48.42111,             9.92398
             1.07500,            43.11477,            12.94796,             9.89427,            48.53510,             9.89417
             1.08000,            46.12110,            14.12169,             9.87822,            48.63419,             9.87725
             1.08500,            47.08060,            15.42303,             9.84965,            48.70695,             9.84795
             1.09000,            47.51611,            16.78260,             9.83395,            48.78000,             9.83145
             1.09500,            47.76747,            18.24584,             9.80580,            48.83285,             9.80262
             1.10000,            47.94601,            19.77863,             9.79042,            48.89183,             9.78650
             1.10500,            48.07857,            21.38502,             9.76267,            48.93260,            10.48538
             1.11000,            48.18967,            23.08614,             9.74759,            48.98243,            11.51631
             1.11500,            48.27787,            24.85046,             9.72020,            49.01478,            12.69700
             1.12000,            48.36036,            26.68161,             9.70540,            49.05800,            13.86547
             1.12500,            48.42659,            28.58340,             9.67836,            49.09309,            15.13692
             1.13000,            48.49321,            30.56488,             9.66381,            49.12082,            16.48633
             1.13500,            48.54585,            32.63186,             9.63711,            49.15075,            17.93930
             1.14000,            48.60195,            34.77960,             9.62278,            49.17438,            19.46312
             1.14500,            48.64499,            36.98585,            10.30637,            49.20066,            21.06059
             1.15000,            48.69340,            39.26371,            11.32377,            49.22095,            22.75237
             1.15500,            48.73535,            42.03452,            12.49347,            49.24421,            24.50764
             1.16000,            48.77017,            45.00154,            13.65513,            49.26174,            26.32968
             1.16500,            48.80639,            46.04366,            14.89623,            49.28250,            28.22191
             1.17000,            48.83654,            46.53012,            16.23400,            49.29774,            30.19336
             1.17500,            48.86855,            46.81994,            17.67560,            49.31640,            32.24955
             1.18000,            48.89480,            47.02964,            19.18924,            49.32970,            34.38614
             1.18500,            48.92330,            47.18821,            20.77678,            49.34658,            36.58120
             1.19000,            48.94628,            47.32241,            22.45816,            49.35824,            38.84732
             1.19500,            48.97184,            47.43100,            24.20345,            49.37361,            41.59445
             1.20000,            48.99209,            47.53213,            26.01542,            49.38387,            44.53995
             1.20500,            49.01516,            47.61536,            27.89724,            49.39793,            45.61691
             1.21000,            49.03308,            47.69772,            29.85778,            49.40698,            46.12676
             1.21500,            49.05402,            47.76504,            31.90240,            49.41991,            46.43309
             1.22000,            49.06995,            47.83480,            34.02708,            49.42793,            46.65558
             1.22500,            49.08907,            47.89081,            36.21023,            49.43730,            46.82468
             1.23000,            49.10330,            47.95130,            38.46391,            49.44669,            46.96788
             1.23500,            49.12084,            48.00455,            41.18699,            49.45556,            47.08441
             1.24000,            49.13359,            48.05079,            44.11041,            49.46431,            47.19254
             1.24500,            49.14976,            48.09705,            45.22013,            49.47256,            47.28222
             1.25000,            49.16123,            48.13754,            45.75243,            49.48066,            47.37035
             1.25500,            49.17367,            48.17869,            46.07450,            49.48831,            47.44310
             1.26000,            49.18622,            48.21443,            46.30906,            49.49582,            47.51780
             1.26500,            49.19798,            48.25129,            47.14391,            49.50293,            47.57856
             1.27000,            49.20969,            48.28303,            48.28108,            49.50991,            47.64335
             1.27500,            49.22065,            48.31630,            49.55786,            49.51652,            47.70066
             1.28000,            49.23154,            48.34466,            50.82026,            49.52301,            47.75098
             1.28500,            49.24174,            48.37485,            52.12389,            49.52918,            47.80080
             1.29000,            49.25188,            48.40033,            53.53063,            49.53524,            47.84497
             1.29500,            49.26139,            48.42787,            55.03332,            49.54100,            47.88932
             1.30000,            49.27085,            48.45089,            56.60504,            49.54668,            47.92840
             1.30500,            49.27973,            48.47615,            58.24350,            49.55208,            48.60623
             1.31000,            49.28857,            48.49701,            59.97133,            49.55740,            49.60945
             1.31500,            49.29688,            48.52029,            61.76326,            49.56247,            50.78311
             1.32000,            49.30517,            48.53927,            63.60835,            49.56747,            51.95131
             1.32500,            49.31297,            48.56080,            65.52841,            49.57223,            53.18097
             1.33000,            49.32075,            48.57813,            67.51416,            49.57695,            54.51039
             1.33500,            49.32808,            48.59573,            69.58917,            49.58144,            55.95256
             1.34000,            49.33540,            48.61360,            71.73213,            49.58589,            57.45876
             1.34500,            49.34230,            49.25091,            73.94176,            49.59013,            59.04749
             1.35000,            49.34920,            50.21897,            76.20976,            49.59433,            60.71759
             1.35500,            49.35571,            51.35715,            78.92232,            49.59834,            62.46180
             1.36000,            49.36223,            52.49883,            81.89718,            49.60232,            64.26239
             1.36500,            49.36838,            53.69934,            83.13380,            49.60611,            66.14094
             1.37000,            49.37455,            55.00318,            83.75273,            49.60989,            68.08679
             1.37500,            49.38034,            56.41652,            84.16486,            49.61349,            70.12176
             1.38000,            49.38621,            57.89901,            84.45598,            49.61707,            72.23039
             1.38500,            49.39170,            59.46105,            84.70887,            49.62048,            74.40431
             1.39000,            49.39726,            61.10852,            84.90490,            49.62389,            76.64179
             1.39500,            49.40246,            62.82741,            85.09542,            49.62713,            79.31226
             1.40000,            49.40775,            64.60723,            85.24748,            49.63038,            82.32948
             1.40500,            49.41268,            66.46173,            85.40529,            49.63343,            83.56303
             1.41000,            49.41770,            68.38773,            85.53144,            49.63654,            84.18991
             1.41500,            49.42238,            70.40163,            85.66596,            49.63944,            84.57991
             1.42000,            49.42715,            72.48927,            85.77610,            49.64241,            84.87453
             1.42500,            50.01885,            74.64311,            85.89586,            49.64517,            85.10297
             1.43000,            50.94116,            76.86075,            85.99277,            49.64799,            85.30197
             1.43500,            52.03802,            79.50270,            86.10603,            49.65062,            85.46823
             1.44000,            53.14647,            82.48988,            86.19702,            49.65331,            85.62395
             1.44500,            54.31444,            83.83923,            86.28758,            49.65580,            85.75831
             1.45000,            55.58380,            84.46853,            86.37044,            49.65836,            85.88909
             1.45500,            56.96226,            84.85765,            86.45388,            50.23592,            86.00333
             1.46000,            58.41115,            85.14991,            86.52976,            51.14376,            86.11718
             1.46500,            59.93996,            85.37464,            86.60704,            52.22751,            86.21707
             1.47000,            61.55370,            85.56983,            86.67693,            53.32575,            86.31834
             1.47500,            63.23994,            85.73173,            86.74891,            54.48363,            86.41224
             1.48000,            64.98771,            85.88342,            86.81366,            55.74218,            86.49802
             1.48500,            66.81032,            86.01345,            86.88105,            57.10951,            86.58255
             1.49000,            68.70446,            86.14033,            86.94133,            58.54769,            86.66027
             1.49500,            70.68625,            86.25048,            87.00471,            60.06580,            86.73791
             1.50000,            72.74215,            86.36067,            87.06108,            61.66864,            86.80898
             1.50500,            74.86529,            86.45672,            87.12095,            63.34426,            86.88083
             1.51000,            77.05261,            86.55458,            87.17388,            65.08155,            86.94626
             1.51500,            79.64678,            86.64477,            87.23064,            66.89369,            87.01318
             1.52000,            82.58269,            86.72756,            87.28052,            68.77731,            87.07379
             1.52500,            84.16782,            86.80859,            87.33450,            70.74842,            87.13645
             1.53000,            84.81651,            86.88352,            87.38167,            72.79373,            87.19290
             1.53500,            85.21377,            86.95785,            87.43106,            74.90659,            87.25186
             1.54000,            85.50942,            87.02633,            87.47743,            77.08373,            87.30468
             1.54500,            85.73441,            87.09505,            87.52503,            79.66137,            87.36039
             1.55000,            85.92870,            87.15808,            87.56940,            82.57928,            87.41001
             1.55500,            86.08854,            87.22204,            87.61511,            83.71384,            87.46285
             1.56000,            86.23808,            87.28041,            87.66727,            83.50525,            87.50966
             1.56500,            86.36545,            87.34028,            87.69971,            82.85920,            87.55996
             1.57000,            86.48991,            87.39463,            87.75019,            82.07297,            87.60427
             1.57500,            86.59731,            87.45094,            87.78123,            81.16979,            87.65026
             1.58000,            86.70510,            87.50180,            87.83028,            80.13630,            87.69389
             1.58500,            86.27090,            87.55500,            87.85993,            78.95867,            87.73829
             1.59000,            85.50922,            87.60279,            87.90759,            77.69379,            87.78011
             1.59500,            84.55751,            87.65325,            87.93593,            76.34873,            87.82280
             1.60000,            83.56053,            87.69834,            87.98232,            74.89611,            87.87234
             1.60500,            82.51525,            87.74637,            88.00946,            73.37495,            87.90234
             1.61000,            81.36662,            87.78906,            88.05466,            71.76630,            87.95023
             1.61500,            80.11720,            87.83295,            88.08069,            70.08280,            87.97895
             1.62000,            78.78899,            87.87498,            88.12478,            68.32591,            88.02554
             1.62500,            77.39007,            87.91738,            88.14978,            66.47732,            88.05301
             1.63000,            75.88757,            87.95769,            88.19284,            64.52646,            88.09835
             1.63500,            74.32685,            87.99849,            88.21689,            62.52918,            88.12466
             1.64000,            72.67963,            88.04639,            88.25899,            60.45611,            88.16883
             1.64500,            70.96971,            88.07498,            88.28214,            57.99801,            88.19405
             1.65000,            69.17971,            88.12120,            88.32334,            55.21596,            88.23715
             1.65500,            67.30760,            88.14859,            88.34566,            53.57478,            88.26139
             1.66000,            65.33535,            88.19359,            88.38602,            52.92634,            88.30347
             1.66500,            63.32051,            87.71710,            88.40757,            52.55712,            88.32678
             1.67000,            61.23067,            86.93026,            88.44713,            52.29982,            88.36793
             1.67500,            58.76596,            85.93987,            88.46796,            52.11138,            88.39039
             1.68000,            55.97936,            84.92225,            88.50678,            51.95964,            88.43068
             1.68500,            54.30918,            83.83893,            88.52692,            51.83866,            88.45234
             1.69000,            53.62285,            82.68492,            88.56504,            51.73189,            88.49183
             1.69500,            53.22314,            81.44520,            88.58458,            51.64339,            88.51276
             1.70000,            52.94161,            80.11543,            88.62202,            51.56072,            88.55150
             1.70500,            52.73003,            78.69965,            88.64096,            51.49134,            88.08100
             1.71000,            52.55913,            77.19773,            88.67778,            51.42400,            87.30139
             1.71500,            52.41887,            75.62213,            88.69617,            51.37052,            86.31719
             1.72000,            52.30496,            73.97794,            88.73240,            51.31150,            85.30299
             1.72500,            52.18989,            72.25652,            88.75028,            51.26098,            84.22260
             1.73000,            52.10203,            70.47289,            88.78597,            51.21567,            83.09333
             1.73500,            52.00823,            68.59372,            88.80338,            51.17359,            81.86098
             1.74000,            51.93509,            66.63298,            88.83856,            51.13493,            80.53870
             1.74500,            51.86113,            64.61337,            88.37644,            51.09845,            79.12943
             1.75000,            51.79824,            62.53714,            87.60638,            51.07355,            77.63462
             1.75500,            51.73067,            60.08794,            86.63075,            51.03196,            76.06543
             1.76000,            51.68146,            57.33928,            85.62222,            51.01077,            74.42827
             1.76500,            51.62308,            55.62133,            84.54698,            50.97302,            72.71377
             1.77000,            51.58149,            54.88007,            83.44354,            50.95295,            70.93763
             1.77500,            51.52959,            54.42843,            82.22079,            50.92064,            69.06653
             1.78000,            51.49406,            54.11686,            80.90778,            50.90387,            67.11477
             1.78500,            51.44745,            53.86677,            79.50685,            50.87439,            65.10353
             1.79000,            51.41694,            53.67440,            78.02076,            50.86031,            63.03643
             1.79500,            51.37474,            53.50181,            76.45966,            50.83318,            60.60459
             1.80000,            51.34842,            53.36254,            74.83101,            50.82136,            57.87620
             1.80500,            51.30995,            53.22893,            73.12495,            50.79622,            56.14489
             1.81000,            51.28719,            53.11939,            71.35764,            50.78633,            55.37804
             1.81500,            51.25188,            53.00963,            69.49600,            50.76292,            54.90847
             1.82000,            51.23216,            52.91965,            67.55442,            50.75470,            54.58304
             1.82500,            51.19958,            52.82922,            65.55282,            50.73452,            54.32139
             1.83000,            51.18248,            52.75121,            63.49594,            50.72659,            54.11901
             1.83500,            51.15225,            52.66880,            61.08242,            50.70724,            53.93755
             1.84000,            51.13742,            52.60544,            58.37514,            50.70038,            53.79029
             1.84500,            51.10925,            52.53353,            56.63234,            50.68203,            53.64938
             1.85000,            51.09639,            52.47895,            55.84151,            50.66817,            53.53312
             1.85500,            51.07172,            52.41461,            55.35521,            50.65942,            53.41710
             1.86000,            51.05949,            52.36707,            55.01697,            50.64730,            53.32125
             1.86500,            51.03592,            52.30897,            54.30034,            50.63931,            53.22524
             1.87000,            51.02501,            52.26729,            53.32604,            50.63030,            53.14211
             1.87500,            51.00269,            52.21443,            52.18117,            50.62097,            53.05479
             1.88000,            50.98518,            52.17771,            51.01490,            50.61233,            52.98665
             1.88500,            50.97244,            52.12930,            49.80153,            50.60348,            52.91030
             1.89000,            50.95696,            52.09681,            48.59346,            50.59536,            52.85137
             1.89500,            50.94522,            52.05225,            47.26668,            50.58700,            52.78299
             1.90000,            50.93302,            52.02339,            45.85766,            50.57938,            52.73145
             1.90500,            50.92021,            51.98215,            44.37309,            50.57150,            52.23722
             1.91000,            50.90856,            51.95645,            42.80490,            50.56435,            51.44317
             1.91500,            50.89641,            51.91811,            41.16880,            50.55693,            50.44491
             1.92000,            50.88544,            51.89519,            39.47289,            50.55022,            49.40368
             1.92500,            50.87397,            51.85939,            37.70390,            50.54323,            48.29613
             1.93000,            50.86366,            51.83891,            35.87931,            50.53693,            47.18341
             1.93500,            50.85284,            51.80699,            33.96501,            50.53032,            45.94148
